start_stop,vid_cid,label,VAD,text,vid,i,path
[101.8400 - 107.8700],Ses01F_impro01_M013,ang,"[2.0000, 4.5000, 4.5000]",Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M013.wav
[7.2688 - 16.6000],Ses01F_impro02_F000,sad,"[2.5000, 2.0000, 1.5000]",Did you get the mail? So you saw my letter?,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav
[19.8500 - 22.7800],Ses01F_impro02_F001,sad,"[2.0000, 1.5000, 1.5000]",Yeah.  I know.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav
[26.5659 - 32.2895],Ses01F_impro02_F002,sad,"[2.0000, 1.5000, 1.5000]",I don't know.  I put in that. request too. They didn't...,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav
[32.3075 - 37.9600],Ses01F_impro02_F003,neu,"[2.0000, 2.0000, 2.0000]","I guess, you know, everybody has to make sacrifices.",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav
[47.3400 - 53.1100],Ses01F_impro02_F004,sad,"[2.5000, 2.0000, 2.5000]","There's people that have given more though, you know?",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav
[58.7500 - 61.3100],Ses01F_impro02_F005,sad,"[2.0000, 2.0000, 2.5000]",I know.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav
[64.2550 - 68.4700],Ses01F_impro02_F006,neu,"[2.5000, 2.5000, 2.5000]","There's babies over there, though, that need mothers.",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav
[87.2031 - 91.0900],Ses01F_impro02_F008,sad,"[1.5000, 2.0000, 1.5000]","Just, you know, kicking myself.",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav
[97.9400 - 102.1900],Ses01F_impro02_F010,sad,"[2.0000, 1.5000, 2.0000]",things just aren't what they seem.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav
[117.8300 - 120.8605],Ses01F_impro02_F012,sad,"[3.5000, 2.0000, 1.5000]","If not me then, who?",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav
[127.8200 - 133.9455],Ses01F_impro02_F013,sad,"[1.5000, 2.0000, 2.0000]","You'll videotape everything, yeah?",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav
[139.0300 - 146.4300],Ses01F_impro02_F014,sad,"[1.5000, 2.0000, 2.0000]","Maybe you can send it to me, like stream it, yeah?",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F014.wav
[151.4221 - 155.0100],Ses01F_impro02_F015,sad,"[2.0000, 2.5000, 2.5000]",Last month--  Yeah.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F015.wav
[163.5400 - 165.7300],Ses01F_impro02_F016,neu,"[2.0000, 1.0000, 2.5000]",I have to find sitters.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F016.wav
[169.3600 - 176.0150],Ses01F_impro02_F017,sad,"[3.5000, 3.0000, 2.5000]","We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F017.wav
[176.0800 - 179.1300],Ses01F_impro02_F018,neu,"[2.5000, 2.5000, 2.5000]",And your mother is close by.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F018.wav
[182.8300 - 185.8894],Ses01F_impro02_F019,sad,"[2.5000, 1.5000, 2.0000]",I'll send you lots of letters.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F019.wav
[186.5800 - 191.1100],Ses01F_impro02_F020,sad,"[4.0000, 2.0000, 2.5000]",And I want lots and lots and lots of pictures.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F020.wav
[21.7600 - 27.5558],Ses01F_impro02_M001,sad,"[2.0000, 2.5000, 2.5000]","I don't understand.  You've already done so much, I don't know why do you have to go back.",Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M001.wav
[52.7100 - 59.0534],Ses01F_impro02_M003,fru,"[2.0000, 3.0000, 3.0000]",I just don't see how they can make you leave when you have a new baby - we have a new kid.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M003.wav
[69.3400 - 74.2900],Ses01F_impro02_M005,sad,"[2.0000, 3.0000, 1.5000]",I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M005.wav
[110.5653 - 113.2000],Ses01F_impro02_M008,fru,"[2.5000, 1.5000, 2.0000]",I know.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M008.wav
[114.1775 - 117.8500],Ses01F_impro02_M009,sad,"[2.0000, 1.5000, 2.5000]",I just don't see why it has to be you.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M009.wav
[120.4105 - 124.6300],Ses01F_impro02_M010,sad,"[2.0000, 2.0000, 1.5000]",What am I going to do? Huh?,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M010.wav
[133.8800 - 137.1000],Ses01F_impro02_M011,sad,"[2.5000, 1.5000, 2.5000]",Yeah.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M011.wav
[147.0300 - 151.7101],Ses01F_impro02_M012,neu,"[2.5000, 2.0000, 2.0000]",Don't you guys have access to computers over there.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M012.wav
[157.9800 - 162.7100],Ses01F_impro02_M013,sad,"[1.5000, 2.0000, 2.0000]",I just don't know how I'm going to do it without you.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M013.wav
[164.8850 - 169.5000],Ses01F_impro02_M014,sad,"[1.5000, 3.0000, 1.5000]",I can't raise a baby by myself.  How?,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M014.wav
[175.4700 - 176.7200],Ses01F_impro02_M015,neu,"[3.0000, 3.0000, 1.5000]",I know.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M015.wav
[195.1047 - 199.5200],Ses01F_impro02_M016,fru,"[2.0000, 1.5000, 2.5000]",It's just not fair.,Ses01F_impro02,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_M016.wav
[4.8800 - 7.7400],Ses01F_impro03_F000,hap,"[4.3333, 2.6667, 2.6667]",Well Vegas was awesome.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F000.wav
[7.9300 - 11.3700],Ses01F_impro03_F001,hap,"[4.0000, 2.6667, 2.6667]","And, um, I got married.",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F001.wav
[12.8000 - 15.3700],Ses01F_impro03_F002,hap,"[4.3333, 3.0000, 2.3333]",Yeah.  In the old town part.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F002.wav
[21.7500 - 25.5200],Ses01F_impro03_F004,hap,"[4.6667, 3.6667, 2.3333]",Um- Yes.  It was very romantic.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F004.wav
[25.5584 - 28.1400],Ses01F_impro03_F005,hap,"[4.3333, 4.0000, 2.3333]",It was at the slot machines.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F005.wav
[28.3700 - 34.7100],Ses01F_impro03_F006,hap,"[4.0000, 3.3333, 2.6667]","Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F006.wav
[40.1200 - 42.7900],Ses01F_impro03_F008,hap,"[4.0000, 3.3333, 2.3333]","Yeah.  Well.  You know, because he's leaving the next day.",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F008.wav
[42.8400 - 44.5400],Ses01F_impro03_F009,hap,"[4.0000, 2.6667, 2.3333]",But we're going to have a honeymoon cruise.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F009.wav
[47.8700 - 51.0750],Ses01F_impro03_F010,hap,"[4.0000, 3.3333, 3.0000]",Oh.  I hadn't even thought about that.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F010.wav
[55.8650 - 58.1500],Ses01F_impro03_F012,hap,"[4.0000, 3.6667, 2.6667]",Oh.  Totally.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F012.wav
[60.7300 - 65.8600],Ses01F_impro03_F013,hap,"[5.0000, 4.0000, 3.3333]",I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F013.wav
[74.2675 - 78.8425],Ses01F_impro03_F015,exc,"[4.6667, 3.6667, 3.0000]","Yeah, so [LAUGHTER] He's calling me now",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F015.wav
[79.0350 - 81.0875],Ses01F_impro03_F016,hap,"[4.0000, 3.0000, 2.3333]","He likes to keep tabs, you know.",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F016.wav
[82.0975 - 85.0800],Ses01F_impro03_F017,neu,"[3.6667, 2.6667, 2.3333]","Uh, I think seven hundred and fifty dollars.",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F017.wav
[85.1000 - 88.0225],Ses01F_impro03_F018,neu,"[3.6667, 3.0000, 2.0000]",Penny slots. That's what he plays.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F018.wav
[88.0800 - 89.5000],Ses01F_impro03_F019,neu,"[3.6667, 2.3333, 2.0000]",Yeah.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F019.wav
[92.7500 - 98.2100],Ses01F_impro03_F021,hap,"[3.3333, 3.6667, 2.6667]",Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F021.wav
[99.7775 - 102.0300],Ses01F_impro03_F022,neu,"[3.3333, 2.6667, 2.0000]",Fifty bucks. Mmhmm.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F022.wav
[102.6200 - 103.4625],Ses01F_impro03_F023,neu,"[3.0000, 2.3333, 2.0000]",Yeah.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F023.wav
[103.7800 - 108.1825],Ses01F_impro03_F024,hap,"[4.3333, 3.0000, 2.6667]",Well so now we're married. We have cat children.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F024.wav
[110.2300 - 114.1600],Ses01F_impro03_F025,hap,"[4.3333, 3.3333, 3.3333]","We renamed Brenda, Lumber Janet.",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F025.wav
[114.1900 - 120.2000],Ses01F_impro03_F026,hap,"[4.6667, 4.0000, 3.0000]",She needs a new name each state that we go into. [LAUGHTER],Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_F026.wav
[3.2400 - 5.4600],Ses01F_impro03_M000,neu,"[4.0000, 3.0000, 2.6667]",So what's up?  What's new?,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M000.wav
[6.6000 - 8.6600],Ses01F_impro03_M001,neu,"[4.3333, 2.6667, 2.3333]",Yeah.  I heard.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M001.wav
[10.5300 - 13.8400],Ses01F_impro03_M002,sur,"[4.3333, 3.3333, 2.6667]",Shut up.  No- in Vegas?,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M002.wav
[14.9300 - 18.9075],Ses01F_impro03_M003,exc,"[5.0000, 4.6667, 3.0000]",Who did you marry?,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M003.wav
[34.2500 - 36.3400],Ses01F_impro03_M006,neu,"[4.0000, 2.6667, 2.3333]",He turned to you and was like...,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M006.wav
[37.7175 - 40.4700],Ses01F_impro03_M007,hap,"[4.0000, 3.0000, 2.3333]",[LAUGHTER] That's really romantic.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M007.wav
[42.0900 - 43.4100],Ses01F_impro03_M008,neu,"[4.0000, 2.6667, 2.0000]",Yeah.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M008.wav
[44.1600 - 49.0700],Ses01F_impro03_M009,neu,"[3.6667, 2.3333, 2.3333]","Does that mean that you're going to get citizenship, too, in- in England or whatever?",Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M009.wav
[52.9200 - 56.8500],Ses01F_impro03_M011,neu,"[3.6667, 3.6667, 2.6667]",Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M011.wav
[65.6425 - 68.4400],Ses01F_impro03_M013,hap,"[4.6667, 4.0000, 3.0000]",Like you need another one of those.[LAUGHTER],Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M013.wav
[73.4100 - 76.9975],Ses01F_impro03_M014,hap,"[4.3333, 3.6667, 2.6667]",Is that your phone?,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M014.wav
[78.3200 - 80.5000],Ses01F_impro03_M015,hap,"[4.0000, 3.0000, 2.6667]",He loves you.,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M015.wav
[80.7175 - 82.5225],Ses01F_impro03_M016,neu,"[3.6667, 2.6667, 2.6667]",How much did he win at the slot?,Ses01F_impro03,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro03/Ses01F_impro03_M016.wav
