vid_cid,label,VAD,text,vid,por,score_label,meld_label
Ses01F_impro01_M006,fru,"[2.5000, 2.0000, 2.5000]","This form is a Z.X.four. You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. No. I need another set of ID to prove this is actually you. I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. No.  I need another ID, a separate one.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M007,fru,"[2.5000, 2.0000, 2.5000]","You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. No. I need another set of ID to prove this is actually you. I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. No.  I need another ID, a separate one. A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M008,fru,"[2.5000, 2.0000, 2.5000]","No. I need another set of ID to prove this is actually you. I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. No.  I need another ID, a separate one. A birth certificate, a passport...a student ID; didn't you go to school?  Anything? Yeah.  We keep it on file, but we need an ID to access that file.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M009,fru,"[2.5000, 2.0000, 2.5000]","I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID. No.  I need another ID, a separate one. A birth certificate, a passport...a student ID; didn't you go to school?  Anything? Yeah.  We keep it on file, but we need an ID to access that file. I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M010,fru,"[2.5000, 2.0000, 2.5000]","No.  I need another ID, a separate one. A birth certificate, a passport...a student ID; didn't you go to school?  Anything? Yeah.  We keep it on file, but we need an ID to access that file. I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID. Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M011,ang,"[2.5000, 2.0000, 2.5000]","A birth certificate, a passport...a student ID; didn't you go to school?  Anything? Yeah.  We keep it on file, but we need an ID to access that file. I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID. Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M013,ang,"[2.5000, 2.0000, 2.5000]","Yeah.  We keep it on file, but we need an ID to access that file. I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID. Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro02_F000,sad,"[2.5000, 2.0000, 1.5000]",Did you get the mail? So you saw my letter? Yeah.  I know. I don't know.  I put in that. request too. They didn't...,Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F001,sad,"[2.5000, 2.0000, 1.5000]","Did you get the mail? So you saw my letter? Yeah.  I know. I don't know.  I put in that. request too. They didn't... I guess, you know, everybody has to make sacrifices.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F002,sad,"[2.5000, 2.0000, 1.5000]","Did you get the mail? So you saw my letter? Yeah.  I know. I don't know.  I put in that. request too. They didn't... I guess, you know, everybody has to make sacrifices. There's people that have given more though, you know?",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F003,neu,"[2.5000, 2.0000, 1.5000]","Yeah.  I know. I don't know.  I put in that. request too. They didn't... I guess, you know, everybody has to make sacrifices. There's people that have given more though, you know? I know.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F004,sad,"[2.5000, 2.0000, 1.5000]","I don't know.  I put in that. request too. They didn't... I guess, you know, everybody has to make sacrifices. There's people that have given more though, you know? I know. There's babies over there, though, that need mothers.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F005,sad,"[2.5000, 2.0000, 1.5000]","I guess, you know, everybody has to make sacrifices. There's people that have given more though, you know? I know. There's babies over there, though, that need mothers. Just, you know, kicking myself.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F006,neu,"[2.5000, 2.0000, 1.5000]","There's people that have given more though, you know? I know. There's babies over there, though, that need mothers. Just, you know, kicking myself. things just aren't what they seem.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F008,sad,"[2.5000, 2.0000, 1.5000]","I know. There's babies over there, though, that need mothers. Just, you know, kicking myself. things just aren't what they seem. If not me then, who?",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F010,sad,"[2.5000, 2.0000, 1.5000]","There's babies over there, though, that need mothers. Just, you know, kicking myself. things just aren't what they seem. If not me then, who? You'll videotape everything, yeah?",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F012,sad,"[2.5000, 2.0000, 1.5000]","Just, you know, kicking myself. things just aren't what they seem. If not me then, who? You'll videotape everything, yeah? Maybe you can send it to me, like stream it, yeah?",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F013,sad,"[2.5000, 2.0000, 1.5000]","things just aren't what they seem. If not me then, who? You'll videotape everything, yeah? Maybe you can send it to me, like stream it, yeah? Last month--  Yeah.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F014,sad,"[2.5000, 2.0000, 1.5000]","If not me then, who? You'll videotape everything, yeah? Maybe you can send it to me, like stream it, yeah? Last month--  Yeah. I have to find sitters.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F015,sad,"[2.5000, 2.0000, 1.5000]","You'll videotape everything, yeah? Maybe you can send it to me, like stream it, yeah? Last month--  Yeah. I have to find sitters. We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F016,neu,"[2.5000, 2.0000, 1.5000]","Maybe you can send it to me, like stream it, yeah? Last month--  Yeah. I have to find sitters. We've got friends, that's why we moved here, huh?  Because there is a day care down the street. And your mother is close by.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F017,sad,"[2.5000, 2.0000, 1.5000]","Last month--  Yeah. I have to find sitters. We've got friends, that's why we moved here, huh?  Because there is a day care down the street. And your mother is close by. I'll send you lots of letters.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F018,neu,"[2.5000, 2.0000, 1.5000]","I have to find sitters. We've got friends, that's why we moved here, huh?  Because there is a day care down the street. And your mother is close by. I'll send you lots of letters. And I want lots and lots and lots of pictures.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F019,sad,"[2.5000, 2.0000, 1.5000]","We've got friends, that's why we moved here, huh?  Because there is a day care down the street. And your mother is close by. I'll send you lots of letters. And I want lots and lots and lots of pictures.",Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_F020,sad,"[2.5000, 2.0000, 1.5000]",And your mother is close by. I'll send you lots of letters. And I want lots and lots and lots of pictures.,Ses01F_impro02,negative,-0.3333333432674408,fear
Ses01F_impro02_M001,sad,"[2.0000, 2.5000, 2.5000]","I don't understand.  You've already done so much, I don't know why do you have to go back. I just don't see how they can make you leave when you have a new baby - we have a new kid. I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.",Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M003,fru,"[2.0000, 2.5000, 2.5000]","I don't understand.  You've already done so much, I don't know why do you have to go back. I just don't see how they can make you leave when you have a new baby - we have a new kid. I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. I know.",Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M005,sad,"[2.0000, 2.5000, 2.5000]","I don't understand.  You've already done so much, I don't know why do you have to go back. I just don't see how they can make you leave when you have a new baby - we have a new kid. I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. I know. I just don't see why it has to be you.",Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M008,fru,"[2.0000, 2.5000, 2.5000]",I just don't see how they can make you leave when you have a new baby - we have a new kid. I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. I know. I just don't see why it has to be you. What am I going to do? Huh?,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M009,sad,"[2.0000, 2.5000, 2.5000]",I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it. I know. I just don't see why it has to be you. What am I going to do? Huh? Yeah.,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M010,sad,"[2.0000, 2.5000, 2.5000]",I know. I just don't see why it has to be you. What am I going to do? Huh? Yeah. Don't you guys have access to computers over there.,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M011,sad,"[2.0000, 2.5000, 2.5000]",I just don't see why it has to be you. What am I going to do? Huh? Yeah. Don't you guys have access to computers over there. I just don't know how I'm going to do it without you.,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M012,neu,"[2.0000, 2.5000, 2.5000]",What am I going to do? Huh? Yeah. Don't you guys have access to computers over there. I just don't know how I'm going to do it without you. I can't raise a baby by myself.  How?,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M013,sad,"[2.0000, 2.5000, 2.5000]",Yeah. Don't you guys have access to computers over there. I just don't know how I'm going to do it without you. I can't raise a baby by myself.  How? I know.,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M014,sad,"[2.0000, 2.5000, 2.5000]",Don't you guys have access to computers over there. I just don't know how I'm going to do it without you. I can't raise a baby by myself.  How? I know. It's just not fair.,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M015,neu,"[2.0000, 2.5000, 2.5000]",I just don't know how I'm going to do it without you. I can't raise a baby by myself.  How? I know. It's just not fair.,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro02_M016,fru,"[2.0000, 2.5000, 2.5000]",I can't raise a baby by myself.  How? I know. It's just not fair.,Ses01F_impro02,negative,-1.3333333730697632,sadness
Ses01F_impro03_F000,hap,"[4.3333, 2.6667, 2.6667]","Well Vegas was awesome. And, um, I got married. Yeah.  In the old town part.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F001,hap,"[4.3333, 2.6667, 2.6667]","Well Vegas was awesome. And, um, I got married. Yeah.  In the old town part. Um- Yes.  It was very romantic.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F002,hap,"[4.3333, 2.6667, 2.6667]","Well Vegas was awesome. And, um, I got married. Yeah.  In the old town part. Um- Yes.  It was very romantic. It was at the slot machines.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F004,hap,"[4.3333, 2.6667, 2.6667]","And, um, I got married. Yeah.  In the old town part. Um- Yes.  It was very romantic. It was at the slot machines. Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F005,hap,"[4.3333, 2.6667, 2.6667]","Yeah.  In the old town part. Um- Yes.  It was very romantic. It was at the slot machines. Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride. Yeah.  Well.  You know, because he's leaving the next day.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F006,hap,"[4.3333, 2.6667, 2.6667]","Um- Yes.  It was very romantic. It was at the slot machines. Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride. Yeah.  Well.  You know, because he's leaving the next day. But we're going to have a honeymoon cruise.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F008,hap,"[4.3333, 2.6667, 2.6667]","It was at the slot machines. Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride. Yeah.  Well.  You know, because he's leaving the next day. But we're going to have a honeymoon cruise. Oh.  I hadn't even thought about that.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F009,hap,"[4.3333, 2.6667, 2.6667]","Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride. Yeah.  Well.  You know, because he's leaving the next day. But we're going to have a honeymoon cruise. Oh.  I hadn't even thought about that. Oh.  Totally.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F010,hap,"[4.3333, 2.6667, 2.6667]","Yeah.  Well.  You know, because he's leaving the next day. But we're going to have a honeymoon cruise. Oh.  I hadn't even thought about that. Oh.  Totally. I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F012,hap,"[4.3333, 2.6667, 2.6667]","But we're going to have a honeymoon cruise. Oh.  I hadn't even thought about that. Oh.  Totally. I guess I'll-  I guess I'll have an internet husband.[LAUGHTER] Yeah, so [LAUGHTER] He's calling me now",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F013,hap,"[4.3333, 2.6667, 2.6667]","Oh.  I hadn't even thought about that. Oh.  Totally. I guess I'll-  I guess I'll have an internet husband.[LAUGHTER] Yeah, so [LAUGHTER] He's calling me now He likes to keep tabs, you know.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F015,exc,"[4.3333, 2.6667, 2.6667]","Oh.  Totally. I guess I'll-  I guess I'll have an internet husband.[LAUGHTER] Yeah, so [LAUGHTER] He's calling me now He likes to keep tabs, you know. Uh, I think seven hundred and fifty dollars.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F016,hap,"[4.3333, 2.6667, 2.6667]","I guess I'll-  I guess I'll have an internet husband.[LAUGHTER] Yeah, so [LAUGHTER] He's calling me now He likes to keep tabs, you know. Uh, I think seven hundred and fifty dollars. Penny slots. That's what he plays.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F017,neu,"[4.3333, 2.6667, 2.6667]","Yeah, so [LAUGHTER] He's calling me now He likes to keep tabs, you know. Uh, I think seven hundred and fifty dollars. Penny slots. That's what he plays. Yeah.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F018,neu,"[4.3333, 2.6667, 2.6667]","He likes to keep tabs, you know. Uh, I think seven hundred and fifty dollars. Penny slots. That's what he plays. Yeah. Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F019,neu,"[4.3333, 2.6667, 2.6667]","Uh, I think seven hundred and fifty dollars. Penny slots. That's what he plays. Yeah. Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like- Fifty bucks. Mmhmm.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F021,hap,"[4.3333, 2.6667, 2.6667]",Penny slots. That's what he plays. Yeah. Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like- Fifty bucks. Mmhmm. Yeah.,Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F022,neu,"[4.3333, 2.6667, 2.6667]",Yeah. Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like- Fifty bucks. Mmhmm. Yeah. Well so now we're married. We have cat children.,Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F023,neu,"[4.3333, 2.6667, 2.6667]","Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like- Fifty bucks. Mmhmm. Yeah. Well so now we're married. We have cat children. We renamed Brenda, Lumber Janet.",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F024,hap,"[4.3333, 2.6667, 2.6667]","Fifty bucks. Mmhmm. Yeah. Well so now we're married. We have cat children. We renamed Brenda, Lumber Janet. She needs a new name each state that we go into. [LAUGHTER]",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F025,hap,"[4.3333, 2.6667, 2.6667]","Yeah. Well so now we're married. We have cat children. We renamed Brenda, Lumber Janet. She needs a new name each state that we go into. [LAUGHTER]",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_F026,hap,"[4.3333, 2.6667, 2.6667]","Well so now we're married. We have cat children. We renamed Brenda, Lumber Janet. She needs a new name each state that we go into. [LAUGHTER]",Ses01F_impro03,positive,1.3333333730697632,joy
Ses01F_impro03_M000,neu,"[4.0000, 3.0000, 2.6667]",So what's up?  What's new? Yeah.  I heard. Shut up.  No- in Vegas?,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M001,neu,"[4.0000, 3.0000, 2.6667]",So what's up?  What's new? Yeah.  I heard. Shut up.  No- in Vegas? Who did you marry?,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M002,sur,"[4.0000, 3.0000, 2.6667]",So what's up?  What's new? Yeah.  I heard. Shut up.  No- in Vegas? Who did you marry? He turned to you and was like...,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M003,exc,"[4.0000, 3.0000, 2.6667]",Yeah.  I heard. Shut up.  No- in Vegas? Who did you marry? He turned to you and was like... [LAUGHTER] That's really romantic.,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M006,neu,"[4.0000, 3.0000, 2.6667]",Shut up.  No- in Vegas? Who did you marry? He turned to you and was like... [LAUGHTER] That's really romantic. Yeah.,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M007,hap,"[4.0000, 3.0000, 2.6667]","Who did you marry? He turned to you and was like... [LAUGHTER] That's really romantic. Yeah. Does that mean that you're going to get citizenship, too, in- in England or whatever?",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M008,neu,"[4.0000, 3.0000, 2.6667]","He turned to you and was like... [LAUGHTER] That's really romantic. Yeah. Does that mean that you're going to get citizenship, too, in- in England or whatever? Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M009,neu,"[4.0000, 3.0000, 2.6667]","[LAUGHTER] That's really romantic. Yeah. Does that mean that you're going to get citizenship, too, in- in England or whatever? Yeah.  But he'll have like a long visa.  Can you go visit then for a long time? Like you need another one of those.[LAUGHTER]",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M011,neu,"[4.0000, 3.0000, 2.6667]","Yeah. Does that mean that you're going to get citizenship, too, in- in England or whatever? Yeah.  But he'll have like a long visa.  Can you go visit then for a long time? Like you need another one of those.[LAUGHTER] Is that your phone?",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M013,hap,"[4.0000, 3.0000, 2.6667]","Does that mean that you're going to get citizenship, too, in- in England or whatever? Yeah.  But he'll have like a long visa.  Can you go visit then for a long time? Like you need another one of those.[LAUGHTER] Is that your phone? He loves you.",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M014,hap,"[4.0000, 3.0000, 2.6667]",Yeah.  But he'll have like a long visa.  Can you go visit then for a long time? Like you need another one of those.[LAUGHTER] Is that your phone? He loves you. How much did he win at the slot?,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M015,hap,"[4.0000, 3.0000, 2.6667]",Like you need another one of those.[LAUGHTER] Is that your phone? He loves you. How much did he win at the slot? Really? Penny slots?,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M016,neu,"[4.0000, 3.0000, 2.6667]",Is that your phone? He loves you. How much did he win at the slot? Really? Penny slots? Wow.,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M017,sur,"[4.0000, 3.0000, 2.6667]",He loves you. How much did he win at the slot? Really? Penny slots? Wow. I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M018,sur,"[4.0000, 3.0000, 2.6667]","How much did he win at the slot? Really? Penny slots? Wow. I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know. But the pennies always get you because you end up spending like, you know, fifty bucks.",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M019,neu,"[4.0000, 3.0000, 2.6667]","Really? Penny slots? Wow. I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know. But the pennies always get you because you end up spending like, you know, fifty bucks. like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M020,neu,"[4.0000, 3.0000, 2.6667]","Wow. I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know. But the pennies always get you because you end up spending like, you know, fifty bucks. like, wait, but it's just pennies.  You're like, wait a minute I'm on to you. Awesome.",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M021,neu,"[4.0000, 3.0000, 2.6667]","I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know. But the pennies always get you because you end up spending like, you know, fifty bucks. like, wait, but it's just pennies.  You're like, wait a minute I'm on to you. Awesome. [LAUGHTER] Cat babies.",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M022,exc,"[4.0000, 3.0000, 2.6667]","But the pennies always get you because you end up spending like, you know, fifty bucks. like, wait, but it's just pennies.  You're like, wait a minute I'm on to you. Awesome. [LAUGHTER] Cat babies. That's fair enough.",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M023,hap,"[4.0000, 3.0000, 2.6667]","like, wait, but it's just pennies.  You're like, wait a minute I'm on to you. Awesome. [LAUGHTER] Cat babies. That's fair enough.",Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro03_M024,neu,"[4.0000, 3.0000, 2.6667]",Awesome. [LAUGHTER] Cat babies. That's fair enough.,Ses01F_impro03,neutral,0.0,neutral
Ses01F_impro04_F000,neu,"[3.0000, 3.0000, 3.0000]","Uh, what?  Craig's List?  Oh the internet thing? I don't know.  Isn't that-- that's all like escort services and things like that. I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",Ses01F_impro04,neutral,0.0,neutral
Ses01F_impro04_F001,neu,"[3.0000, 3.0000, 3.0000]","Uh, what?  Craig's List?  Oh the internet thing? I don't know.  Isn't that-- that's all like escort services and things like that. I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board. He just...",Ses01F_impro04,neutral,0.0,neutral
