vid	start	stop	label	cid	text
-UuX1xuaiiE	42.884	51.556	1.6666666269302368	8	^- I think it's very important for any student ^if you're gonna have a leadership role ^in business or politics and law, finance
-WXXTNIJcVM	1.278	5.012	1.6666666269302368	1	It's so fun, and it's a great workout
-WXXTNIJcVM	0.0	2.079	2.0	0	"""I just have a passion for it"
-WXXTNIJcVM	7.594	18.721	1.6666666269302368	3	""" Strong social media game With over half a million followers on both her Twitter and Instagram pages, De La Garza has cultivated her stardom into a loyal fanbase"
-WXXTNIJcVM	4.351	8.444	2.3333332538604736	2	And number two, it's awesome
-WXXTNIJcVM	31.44	41.988	0.3333333432674408	5	Surprisingly, she doesn't seem to have an official Facebook page, so either kids are too cool for that now, or she reads all of her grumpy older relatives' political gripes elsewhere
-ZgjBOA1Yhw	10.837	19.779	-0.3333333432674408	1	But our Ukrainian partners rejected this possibility for reasons unknown to me.
-ZgjBOA1Yhw	18.779	30.255	-0.6666666865348816	2	It is common knowledge that the reverse-flow gas that they (Ukraine) are receiving from several European countries costs $20-30 more for consumers.
-ZgjBOA1Yhw	46.017	53.003	0.3333333432674408	5	That means paying the price of $270-280 per 1,000 cubic metre, that's the possible price for the third quarter.
-ZgjBOA1Yhw	37.107	46.787	-0.3333333432674408	4	Is it cheaper to receive Russian gas, or to get reverse-flow gas for $20-30 dollars more than the Russian price.
-ZgjBOA1Yhw	60.993	72.259	0.3333333432674408	7	If it is profitable for them [Ukrainian authorities] to pay at the expense of consumers, at the expense of their citizens, it is their personal choice.
-ZgjBOA1Yhw	71.259	81.957	0.0	8	Let them answer to their people who have to understand at what price the gas is purchased from friendly European countries.
-a55Q6RWvTA	17.112	39.175	0.6666666865348816	3	"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se."
-aNfi7CP8vM	48.112	58.58	0.0	10	Did they grow up in a very strict, staunch Republican household and so because of that now they're a very, very liberal Democrat?
-aNfi7CP8vM	27.639	36.161	0.0	7	Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.
-aqamKhZ1Ec	9.889	23.959	-0.6666666865348816	1	And even after the election and the tribal warfare was going on, tribal people were killing one another, but Equity had branches all over the country.
-aqamKhZ1Ec	0.0	10.889	-2.0	0	In 2008, there were very serious tribal warfare in Kenya following a disputed election.
-aqamKhZ1Ec	29.115	42.317	-0.3333333432674408	5	They didn't hurt anybody as they-- it was a terrible time, but Equity was kind of an oasis of peace, because everybody said, this bank is my bank, so I'm not going to do anything to this bank.
-dxfTGcXJoc	20.205	36.221	1.6666666269302368	1	For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.
-dxfTGcXJoc	0.0	20.407	1.0	0	This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.
-dxfTGcXJoc	52.622	62.502	1.3333333730697632	3	As governor, I participated in several meetings with executives from high-tech companies who are interested in doing business in, or with, Kentucky.
-dxfTGcXJoc	36.169	52.794	0.6666666865348816	2	An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.
-dxfTGcXJoc	67.189	77.308	2.0	5	As a result of these meetings, one or more of these companies may soon expand their existing Kentucky facilities, or establish new operations in our state.
-dxfTGcXJoc	62.25	67.321	1.6666666269302368	4	They were all impressed by the thriving lifescience sector in our state.
-dxfTGcXJoc	90.107	100.914	1.0	7	Our state pavilion provides an eye-catching environment in which Kentucky biotech companies and organizations can meet prospective customers and business partners.
-dxfTGcXJoc	77.465	90.079	0.6666666865348816	6	Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.
-egA8-b7-3M	157.184	162.654	1.3333333730697632	24	By continually seeking new clients you build a stronger business.
-egA8-b7-3M	67.957	78.615	0.3333333432674408	10	This is an opportunity for you to highlight your products, your testimonials that you have gotten from clients, letters of recommendation and publications.
-egA8-b7-3M	188.802	194.701	1.6666666269302368	26	We're updating it all the time and looking forward to your comments on our videos.
-egA8-b7-3M	93.848	101.403	0.0	15	You can look at what you want to share with your clients, about what you're doing and what's new in your practice.
-egA8-b7-3M	106.729	113.805	0.3333333432674408	17	As you have more experience, you have more times exhibiting, you get to know more people.
-egA8-b7-3M	150.509	157.286	0.0	23	Things could shift and that customer could change the type of cases that he or she is handling.
-egA8-b7-3M	113.314	121.567	1.0	18	It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.
-egA8-b7-3M	101.561	107.03	0.6666666865348816	16	Third, another big benefit of exhibiting is connecting with existing clients.
-egA8-b7-3M	86.116	90.139	0.3333333432674408	13	"What are you doing that's different?"" They always want an answer."
-egA8-b7-3M	1.268	11.408	0.6666666865348816	1	I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.
-egA8-b7-3M	17.731	24.977	0.6666666865348816	3	One of the things that is most important to do when you consider exhibiting is to think about your goals.
-egA8-b7-3M	11.156	17.813	0.0	2	In this video I share tips about exhibiting your services at an attorney conference.
-egA8-b7-3M	27.858	35.273	0.3333333432674408	5	Here are three goals that you can achieve by signing up to become an exhibitor at an attorney conference.
-egA8-b7-3M	162.642	189.413	1.3333333730697632	25	"Get detailed information on how to successfully exhibit by investing in a copy of my book, ""Secrets of Expanding a Legal Nurse Consulting Business"". Go to the link on this screen which will take you to www.legalnursebusiness.com While you're on my site, grab your free e-books, sign up for our free e-zines and please subscribe to this YouTube channel."
-egA8-b7-3M	35.102	41.27	0.6666666865348816	6	First exhibiting is a wonderful opportunity to network with other legal vendors.
-egA8-b7-3M	63.377	68.308	0.3333333432674408	9	Secondly, another goal of exhibiting  is building your company image.
-egA8-b7-3M	124.788	131.245	0.3333333432674408	20	Now you've got a face that you can connect with a voice, and that makes you closer to that client.
-iRBcNs9oI8	42.146	46.019	0.0	11	"Then we have our second word: ""pose"""
-iRBcNs9oI8	36.588	41.859	2.0	10	It's when you're very confident, when you're strong and you feel strong
-iRBcNs9oI8	0.341	8.335	1.6666666269302368	1	And this secret will also help you if you ever decide to ask out that special someone
-iRBcNs9oI8	10.228	15.758	0.6666666865348816	3	Well, it is the secret of power pose
-iRBcNs9oI8	7.754	10.819	1.0	2	So, what is this secret I'm telling you about
-iRBcNs9oI8	16.274	20.397	0.0	5	So, first of all, what am I talking about
-iRBcNs9oI8	21.722	25.715	0.6666666865348816	7	"Well, for starters, let's look at the word ""power"""
-iRBcNs9oI8	19.587	22.403	0.3333333432674408	6	What is a power pose
-iRBcNs9oI8	33.755	37.119	1.3333333730697632	9	Power is similar to strength
-iRBcNs9oI8	25.573	33.597	1.0	8	I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong
-lqc32Zpr7M	0.0	5.112	0.0	0	You got to visit your family for the holidays and your mom and dad has some big news.
-lqc32Zpr7M	22.4	27.731	-0.6666666865348816	5	There are several different stages that you're going to go through when coping with a dying person.
-lqc32Zpr7M	38.514	47.576	0.3333333432674408	10	You're going to plead with God, plead with the higher being above, plead with anyone who will listen that you don't want this person to leave you in your life.
-lqc32Zpr7M	76.448	85.42	-0.6666666865348816	18	This is an extremely hard time and a way to learn a lot about yourself, your family and your friends; but acceptance is the ultimate stage.
-lzEya4AM_4	63.347	78.266	0.6666666865348816	9	Once nausea and vomiting occur, we would mix charcoal, activated charcoal with water; commonly found in many first aid kits, and have the person drink that to absorb whatever residual poisons may be left in the stomach area.
-lzEya4AM_4	78.194	85.569	-0.3333333432674408	10	Again, keep in mind, if it's some type of petroleum or corrosive product we would not want to induce vomiting of any type.
-lzEya4AM_4	25.124	32.679	-0.6666666865348816	5	If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.
-lzEya4AM_4	47.324	51.686	0.0	7	But as long as it's plant, food, or drug we would induce vomiting.
-lzEya4AM_4	32.907	47.625	-0.3333333432674408	6	If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.
-mJ2ud6oKI8	0.47	6.519	0.0	1	There are a dozen or more hands on techniques that we can do
-mJ2ud6oKI8	11.176	16.676	0.0	3	If you go to the HipTrac website or Youtube channel you'll see some demonstrations of these techniques
-mJ2ud6oKI8	6.048	11.737	0.0	2	So physical therapists and chiropractors will do joint manipulations and mobilizations
-mJ2ud6oKI8	21.173	25.965	1.3333333730697632	5	Some of them are very relaxing, very gentle, very pain relieving
-mJ2ud6oKI8	15.676	22.173	0.0	4	You can go to the Youtube channel and you can see demonstrations of some of these techniques
-mJ2ud6oKI8	26.83	30.474	0.0	7	Then there are ones that are a little less comfortable
-mJ2ud6oKI8	25.404	27.611	0.3333333432674408	6	They are all very safe
-mJ2ud6oKI8	33.006	39.913	0.0	9	It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time
-mJ2ud6oKI8	29.474	33.627	-0.3333333432674408	8	Sometimes we have to stretch that joint that is already irritated
-mqbVkbCndg	5.948	9.173	0.0	1	And how could we get beyond those limits
-mqbVkbCndg	0.0	6.369	0.0	0	How, at a particular moment in time—our moment in time—are they limited
-mqbVkbCndg	51.055	57.683	0.3333333432674408	4	I said this is a thoroughly pragmatist approach and it is because it’s not about perfection
-t217m2on-s	10.647	16.257	0.6666666865348816	2	But a good thing to do is yawning, chewing gum is effective.
-t217m2on-s	43.183	60.187	-0.6666666865348816	7	If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.
-tANM6ETl_M	0.0	11.039	-0.6666666865348816	0	The biggest mistake people make when they start positioning their products or their services or their businesses, is to take a position that somebody else has already got.
-tANM6ETl_M	19.008	25.605	0.3333333432674408	3	The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.
-tANM6ETl_M	25.084	47.905	0.3333333432674408	4	"""I've never chewed gum before, I've never drank a soda pop before, I've never done it before."" The other place customers come from is, ""I've done it before but I'm unhappy with the way I'm doing it."" So it's either somebody who's never done it before, or somebody that's done it before but they're unhappy."
-tPCytz4rww	52.532	57.902	0.0	11	Make sure that your using comps that are not larger, no larger than twelve hundred square feet.
-tPCytz4rww	48.611	53.283	0.0	10	Say twenty percent so if you've got a thousand square foot condo.
-tPCytz4rww	56.902	68.628	0.0	12	No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.
-tPCytz4rww	102.588	106.252	0.0	21	Just a couple ideas to get you started on how to sell your condo.
-tPCytz4rww	81.027	88.153	0.0	16	So make sure to get a through or to do a through cleaning of the property.
-tPCytz4rww	90.955	97.512	0.0	18	Do so and as well you'll also want to remove any clutter from that you've accumulated.
-vxjVxOeScU	24.396	31.023	0.6666666865348816	2	Don't worry a wedding anniversary speech is one of the easiest speeches to write and give.
-vxjVxOeScU	35.94	44.961	1.0	4	You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.
-vxjVxOeScU	60.085	73.816	1.3333333730697632	7	But usually the length of time that a couple has been married really gives you all the information you need to make a great speech, they're very short; they're very sweet, they're very simple.
-wMB_hJL-3o	0.0	7.237	1.0	0	Hi my name is Dr. Art Bowler and I am a psychologist in Manhattan New York City where I have my own private practice.
-wMB_hJL-3o	30.642	39.913	1.3333333730697632	4	The best way to help a depressed person is to first notice that they are depressed and when you do notice, talk to them about it.
-wMB_hJL-3o	75.689	81.658	0.3333333432674408	7	So if you have a loved one who is depressed those are some of the things that you should think about doing.
-wMB_hJL-3o	64.914	76.25	0.6666666865348816	6	There are many different treatments helpful for depression by psychologists and psychiatrist alike including behavior modification, cognitive therapy and medication management.
-wny0OAz3g8	2.256	9.013	0.3333333432674408	1	And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work
-wny0OAz3g8	0.0	3.256	0.3333333432674408	0	trade labor unions didn’t allow Black workers to join
-wny0OAz3g8	13.521	19.599	-1.3333333730697632	3	Which then allowed the white workers and unions to justify their decision to not allow black workers into their union
-wny0OAz3g8	8.013	14.521	-0.3333333432674408	2	And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior
-wny0OAz3g8	22.121	28.848	1.0	5	This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant
-wny0OAz3g8	18.599	23.061	0.0	4	The prevailing beliefs about race and racism ultimately reinforced themselves
-wny0OAz3g8	38.065	45.969	0.0	7	Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent
-wny0OAz3g8	49.22	55.258	0.6666666865348816	9	He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more
-wny0OAz3g8	45.069	50.22	0.0	8	Another modern look at these issues can be seen in the work of sociologist William Julius Wilson
03X1FwF6udc	76.797	86.846	0.3333333432674408	17	In terms of looking at the three different types of goals it's important to note that if you are saving for a short term goal I would highly recommend that you invest that money liquid.
03X1FwF6udc	110.081	114.693	0.6666666865348816	22	You want to make sure you have a hundred percent of the money that you originally saved for that goal.
03X1FwF6udc	92.691	96.135	0.0	19	Something that's going to be save, it's going to be liquid.
03X1FwF6udc	152.066	161.417	0.3333333432674408	31	I'm a Certified Financial Planner with Asti Financial Management . And you can learn more about my services and my company at www dot asti financial dot com.
03X1FwF6udc	19.537	28.549	0.6666666865348816	5	So the first step is definitely going to be able to create a working budget that provides you with hopefully positive cash flow in which you can start a savings plan.
03X1FwF6udc	10.946	20.537	0.0	4	Because you want to make sure that after, as your income comes in and you've paid all of your fixed and your variable expenses that you have some money that you can actually dedicate to a savings plan.
03X1FwF6udc	39.751	44.083	0.3333333432674408	9	Short term goals, intermediate term goals, and longer term goals.
07Z16yRBFUQ	15.845	21.824	0.6666666865348816	3	That is to say they are trying to put money away for retirement when they are not working.
07Z16yRBFUQ	37.297	49.771	0.0	5	That being said mutual funds have rules and the most notable rules are past performance, there's no indication of fair value, and may lose value and not insured by any federal government agency.
07Z16yRBFUQ	49.339	58.321	0.0	6	So be mindful of your risk tolerance, the younger you are the more risk you can assume and as you get older make sure you pare back on the risk.
08d4NTXkSxw	-0.039	6.698	0.0	1	I think, up until that time, there was not a whole lot of notoriety that was coming to the Friendship Nine
08d4NTXkSxw	11.336	22.024	0.3333333432674408	3	And if you knew anything about the turn of the century, everybody was trying to decide, what was the biggest thing that happened in the previous century
08d4NTXkSxw	6.626	11.517	0.0	2	But, at the time, I was serving on the Cultural and Heritage Museum Board
08d4NTXkSxw	46.166	55.068	0.0	5	LAUREL HOLTZAPPLE: So the impetus of the project was the Friendship Nine and the vacating of their sentences for trespassing
0AA-wmk8WdA	10.627	17.145	0.3333333432674408	1	But I think for many of us, it exposed maybe a lot of issues that were happening underneath the water.
0AA-wmk8WdA	78.403	83.903	1.0	10	And I think we need to adjust to that as well as a company.
0AkGtPzl7D8	32.448	37.888	0.6666666865348816	4	Many times the best way to invest is to be completely risk averse.
0BVed2nBq1g	2.945	10.889	0.6666666865348816	1	Drama queen is used especially for a woman who is extremely melodramatic
0BVed2nBq1g	-0.488	3.735	0.0	0	Very first one we have is Drama Queen
0BVed2nBq1g	19.966	25.935	-0.6666666865348816	3	Like for example, a friend of mine lost her wallet
0BVed2nBq1g	10.238	20.477	-0.3333333432674408	2	Like for a situation or for an event the way this woman would react will be in a very exaggerated and melodramatic way
0BVed2nBq1g	25.314	30.704	-0.3333333432674408	4	"And this another friend of mine was like ""Oh no, Really"
0BVed2nBq1g	36.488	39.773	0.6666666865348816	7	SO she is such a drama queen
0BVed2nBq1g	32.198	37.219	0.0	6	Now that's quite and exaggerated reaction, right
0DBfvvIVmqY	35.112	42.188	0.3333333432674408	11	For those of you who were curious about that, I do plan on doing an updated apartment tour and an updated room tour
0DBfvvIVmqY	44.38	47.057	0.3333333432674408	13	If you could spend Christmas with any J
0DBfvvIVmqY	41.417	44.712	1.3333333730697632	12	So [snaps] look forward to that
0DBfvvIVmqY	46.057	52.195	0.6666666865348816	14	K Rowling character Fantastic Beasts and Marauders included, who would it be
0DBfvvIVmqY	0.41	4.214	1.0	1	What books are you currently reading
0DBfvvIVmqY	14.678	18.093	1.3333333730697632	3	so I definitely recommend to check them out
0DBfvvIVmqY	20.345	23.39	0.3333333432674408	5	I'm probably gonna go with Harry Potter
0DBfvvIVmqY	17.601	21.006	0.3333333432674408	4	A Harry Potter mug or a Star Wars mug
0DBfvvIVmqY	24.486	29.686	0.6666666865348816	7	we probably all know the answer to that right now, so say it with me folks
0DBfvvIVmqY	32.488	35.343	0.6666666865348816	9	Do you plan on doing a house tour
0DBfvvIVmqY	29.345	32.949	2.3333332538604736	8	Starbuck's salted caramel, hot chocolate
0EAAfLCQabY	5.0	7.417	-0.6666666865348816	1	I didn't want anyone to know
0EAAfLCQabY	-0.488	5.711	-0.3333333432674408	0	hearing loss when I was four to the time I was like in my twenties
0EAAfLCQabY	6.756	15.189	-0.6666666865348816	2	It was a huge secret and I didn't tell anyone: my friends, family members, i did not want anyone to know
0EphpADwdPg	2.585	12.196	0.3333333432674408	1	So for those of us in the theatres, watching Frozen for the first time, again, we see this build-up happening
0EphpADwdPg	-0.488	3.426	0.3333333432674408	0	Disney, but from all over the place-what we hear in the radio
0EphpADwdPg	11.196	15.149	0.0	2	"And we were probably subconsciously just expecting ""Let it Go"
0EphpADwdPg	38.015	45.55	1.6666666269302368	7	And the first time let's do something completely magical, something sweet, something completely unexpected
0EphpADwdPg	33.585	38.656	0.6666666865348816	6	So that it does happen, but the SECOND time the chorus comes in
0EphpADwdPg	45.059	50.748	1.0	8	So, with that in mind, let's imagine going back to the first time we watched the movie
0FA32bEZ6xI	181.549	194.272	0.0	24	 They honori architect Robert Robinson Taylor; Bishop Richard Allen, founder of the African Methodist Episcopal Church; and most recently civil rights leader and activist Dorothy Height
0FA32bEZ6xI	193.971	199.829	0.6666666865348816	25	 She was honored on a stamp just issued February 1, the first day of Black History Month
0FA32bEZ6xI	199.937	212.072	0.0	26	 Gates also told McAllister that an upcoming set of stamps will commemorate key players in the Harlem Renaissance, an early 20th-century cultural, artistic and social explosion
0FA32bEZ6xI	212.099	222.049	0.0	27	 Gates himself has been pictured on a postage stamp, part of a pane of six issued by Ghana in 1998 paying tribute to Great Black Writers of the 20th Century
0FA32bEZ6xI	145.141	156.029	0.0	20	 Another prominent collector and the former chief curator of philately for the Smithsonian National Postal Museum, Cheryl Ganz, also serves on the committee
0FA32bEZ6xI	156.655	163.971	0.0	21	 As Bill McAllister points out in his report about Gates’ departure from the committee, its deliberations are kept secret
0FA32bEZ6xI	163.889	175.624	0.6666666865348816	22	 However, McAllister said that Gates told him in an interview that the panel has approved all his suggestions for stamps celebrating the contributions of African-Americans to the United States
0FA32bEZ6xI	176.67	181.411	0.0	23	 These include the three most recent stamps in the Black Heritage series
0FA32bEZ6xI	221.688	225.9	0.0	28	 For Linn’s Stamp News and Scott catalogs, I’m Denise McCarty
0FA32bEZ6xI	225.259	229.911	0.0	29	 Keep up on the latest stamp news by following Linn’s on Linns
0FA32bEZ6xI	7.694	14.251	0.0	1	 The Citizens’ Stamp Advisory Committee is down to 11 members
0FA32bEZ6xI	5.299	8.694	0.3333333432674408	0	Welcome to the Monday Morning Brief for February 6, 2017
0FA32bEZ6xI	15.067	19.35	0.0	3	 has left after serving the maximum 12 years allowed on the panel
0FA32bEZ6xI	13.84	16.067	0.0	2	 Henry Louis Gates Jr
0FA32bEZ6xI	29.165	39.195	0.6666666865348816	5	 In addition to being a noted Harvard professor of African and African-American research, Gates is a literary scholar, journalist, author, filmmaker
0FA32bEZ6xI	19.417	28.758	0.3333333432674408	4	 In an interview with Linn’s Washington Correspondent Bill McAllister, Gates said he would have never resigned from the panel, adding that it was his favorite one to serve on
0FA32bEZ6xI	42.914	49.95	0.3333333432674408	7	 The roots of the Citizens’ Stamp Advisory Committee are believed to date back to the 1940s
0FA32bEZ6xI	39.382	43.894	0.0	6	 His documentaries include Finding Your Roots, which currently airs on PBS
0FA32bEZ6xI	49.808	59.249	-0.6666666865348816	8	 Many have suggested that it was the 1948 3¢ Poultry Industrial Chicken stamp — which has long been widely regarded as one of the least-necessary U
0FA32bEZ6xI	68.426	77.637	0.0	11	 Whatever the impetus, it was almost a decade before the Citizens’ Stamp Advisory Committee was established by Postmaster General Arthur E
0FA32bEZ6xI	58.588	68.428	1.0	10	 commemorative stamps ever — and other similar special-interest stamps that led to a call for a group to oversee the selection of topics to be honored on our postage
0FA32bEZ6xI	78.603	92.364	0.3333333432674408	13	 The announcement at the time said that the group “shall advise the Post Office Department on any matters pertaining to the subject matter, design, production and issuance of postage stamps
0FA32bEZ6xI	76.637	79.403	0.0	12	 Summerfield in March of 1957
0FA32bEZ6xI	95.903	108.856	0.0	15	 On its website today, the United States Postal Service says, “The group selects subjects for recommendation as future stamp issues, made with all postal customers in mind, including stamp collectors
0FA32bEZ6xI	93.03	95.926	0.3333333432674408	14	” The role of the committee hasn’t changed much
0FA32bEZ6xI	116.546	130.467	0.0	17	 These members come from many different fields, the Postal Service specifically states that they “provide expertise on history, science and technology, art, education, sports, and other subjects of public interest
0FA32bEZ6xI	110.091	116.19	0.0	16	” Also, as in 1957, the postmaster general is the one who appoints new committee members
0FA32bEZ6xI	133.767	142.989	0.3333333432674408	19	 The committee is currently chaired by Janet Klug, a lifelong collector, a former president of the American Philatelic Society and a Linn’s columnist
0FA32bEZ6xI	130.804	133.82	0.0	18	” The stamp hobby is represented as well
0JuRmhhgMw8	5.459	16.676	0.3333333432674408	1	 The online course1 Indian Constitution at work introduces the making and working of our Constitution since 1950 in a detailed manner
0JuRmhhgMw8	0.351	6.08	1.0	0	Dear learners, a warm welcome to the online courses in this objective political science
0JuRmhhgMw8	31.819	44.912	1.3333333730697632	3	So it is very important that we understand the Constitution better both not just only for the sake of our academic life but also personal life
0JuRmhhgMw8	16.105	32.25	0.6666666865348816	2	 As you are aware the Constitution of India is the longest Constitution in the world The making of our Constitution itself was an exercise in consensus building You know very well that Constitution plays a very crucial role in our everyday life
0JuRmhhgMw8	54.537	72.569	0.6666666865348816	5	The course explains various provisions of the Constitution about the fundamental rights and other rights electoral system that we adopted functioning and functionaries of the three organs of the government,namely executive,legislature and judiciary
0JuRmhhgMw8	44.45	54.989	0.0	4	 The course seeks to lay a solid foundation for understanding the system of constitutional government in india with the help of examples from the real life 
0JuRmhhgMw8	88.181	100.356	0.0	7	 The course elaborates on the dynamic nature of our Constitution as a living document and concludes with the underlying philosophy of the Constitution of India
