index	Dialogue_ID	Emotion	EndTime	Episode	Season	Sentiment	Speaker	SrNo	StartTime	Utterance	Utterance_ID	idx	elapse
dia0_utt13	0	neutral	00:17:20,707	21	8	neutral	The Interviewer	14	00:17:17,579	Absolutely.  You can relax	13	0_13	3.128
dia1_utt0	1	surprise	00:36:42,824	23	9	negative	Joey	15	00:36:40,364	But then who? The waitress I went out with last month?	0	1_0	2.46
dia1_utt1	1	sadness	00:36:46,578	23	9	negative	Rachel	16	00:36:44,368	You know? Forget it!	1	1_1	2.21
dia1_utt2	1	surprise	00:36:49,122	23	9	negative	Joey	17	00:36:44,368	No-no-no-no, no! Who, who were you talking about?	2	1_2	4.7540000000000004
dia1_utt3	1	fear	00:36:51,791	23	9	negative	Rachel	18	00:36:49,290	No, I-I-I-I don't, I actually don't know	3	1_3	2.5010000000000003
dia1_utt4	1	neutral	00:36:53,543	23	9	neutral	Joey	19	00:36:52,376	Ok!	4	1_4	1.167
dia1_utt5	1	neutral	00:36:55,000	23	9	neutral	Joey	20	00:36:53,545	All right, well...	5	1_5	1.455
dia1_utt8	1	neutral	0:37:01,439	23	9	neutral	Rachel	23	0:36:59,425	Yeah, sure!	8	1_8	2.0140000000000002
dia2_utt0	2	neutral	00:05:51,433	6	3	neutral	Chandler	24	00:05:50,350	Hey, Mon.	0	2_0	1.083
dia2_utt1	2	neutral	0:05:53,897	6	3	neutral	Monica	25	0:05:52,435	Hey-hey-hey. You wanna hear something that sucks.	1	2_1	1.4620000000000002
dia2_utt2	2	joy	0:05:55,743	6	3	positive	Chandler	26	0:05:53,897	Do I ever.	2	2_2	1.846
dia2_utt3	2	sadness	0:05:58,734	6	3	negative	Monica	27	0:05:57,023	Chris says they’re closing down the bar.	3	2_3	1.711
dia2_utt4	2	surprise	0:05:59,774	6	3	negative	Chandler	28	0:05:58,734	No way!	4	2_4	1.04
dia2_utt5	2	neutral	00:06:02,152	6	3	neutral	Monica	29	00:05:59,942	Yeah, apparently they’re turning it into some kinda coffee place.	5	2_5	2.21
dia2_utt6	2	disgust	00:06:07,157	6	3	negative	Chandler	30	00:06:02,362	Just coffee! Where are we gonna hang out now?	6	2_6	4.795
dia2_utt7	2	sadness	00:06:07,157	6	3	negative	Monica	31	00:06:04,489	Got me.	7	2_7	2.668
dia2_utt8	2	neutral	0:06:08,035	6	3	neutral	Chandler	32	0:06:07,367	Can I get a beer.	8	2_8	0.668
dia2_utt9	2	neutral	0:06:10,019	6	3	neutral	Monica	33	0:06:08,035	Hey, did you pick a roommate?	9	2_9	1.9840000000000002
dia2_utt10	2	joy	0:06:10,973	6	3	positive	Chandler	34	0:06:10,161	You betcha!	10	2_10	0.812
dia2_utt11	2	neutral	0:06:12,167	6	3	neutral	Monica	35	0:06:10,973	Is it the Italian guy?	11	2_11	1.1940000000000002
dia2_utt12	2	joy	00:06:13,497	6	3	positive	Chandler	36	00:06:12,288	Um-mm, yeah right!	12	2_12	1.209
dia3_utt0	3	surprise	00:10:18,450	12	3	negative	Phoebe	37	00:10:16,115	Oh my God, oh my God! Poor Monica!	0	3_0	2.335
dia3_utt1	3	surprise	0:10:19,750	12	3	negative	Chandler	38	0:10:18,618	What, what, what?!	1	3_1	1.1320000000000001
dia3_utt2	3	surprise	0:10:20,966	12	3	negative	Phoebe	39	0:10:19,750	What?!	2	3_2	1.216
dia3_utt3	3	neutral	00:10:23,496	12	3	neutral	Phoebe	40	00:10:21,078	He was with her when he wrote this poem.	3	3_3	2.418
dia3_utt4	3	neutral	00:10:26,499	12	3	neutral	Phoebe	41	00:10:23,664	Look,  'My vessel so empty with nothing inside.	4	3_4	2.835
dia3_utt5	3	neutral	00:10:29,586	12	3	neutral	Phoebe	42	00:10:26,667	Now that I've touched you, you seem emptier still.'	5	3_5	2.919
dia3_utt6	3	surprise	00:10:32,672	12	3	negative	Phoebe	43	00:10:29,754	He thinks Monica is empty, she is the empty vase!	6	3_6	2.918
dia3_utt8	3	sadness	00:10:39,137	12	3	negative	Phoebe	45	00:10:36,385	Oh, totally. Oh, God, oh, she seemed so happy too.	8	3_8	2.7520000000000002
dia3_utt9	3	neutral	00:10:41,181	12	3	neutral	Joey	46	00:10:39,680	Done.	9	3_9	1.5010000000000001
dia4_utt0	4	surprise	0:20:24,891	11	3	positive	Rachel	47	0:20:23,931	Hey!	0	4_0	0.9600000000000001
dia4_utt1	4	joy	0:20:25,028	11	3	positive	Ross	48	0:20:24,891	Hi!	1	4_1	0.137
dia4_utt2	4	surprise	00:20:26,265	11	3	positive	Rachel	49	00:20:25,140	What are you doing here?	2	4_2	1.125
dia4_utt3	4	neutral	00:20:29,185	11	3	neutral	Ross	50	00:20:26,433	Ah y'know, this building is on my paper route so I...	3	4_3	2.7520000000000002
dia4_utt4	4	neutral	0:20:30,771	11	3	neutral	Rachel	51	0:20:29,394	Oh.	4	4_4	1.377
dia4_utt5	4	neutral	0:20:30,873	11	3	neutral	Ross	52	0:20:30,771	Hi.	5	4_5	0.10200000000000001
dia4_utt6	4	neutral	0:20:31,135	11	3	neutral	Rachel	53	0:20:30,873	Hi.	6	4_6	0.262
dia4_utt7	4	neutral	00:20:32,230	11	3	neutral	Ross	54	00:20:31,188	How’d did it go?	7	4_7	1.042
dia4_utt8	4	joy	00:20:40,446	11	3	positive	Rachel	55	00:20:32,397	Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.	8	4_8	8.049000000000001
dia4_utt9	4	joy	0:20:41,991	11	3	positive	Ross	56	0:20:40,614	I’m so proud of you.	9	4_9	1.377
dia4_utt10	4	joy	0:20:43,543	11	3	positive	Rachel	57	0:20:41,991	Me too!	10	4_10	1.552
dia4_utt11	4	sadness	00:20:53,584	11	3	negative	Ross	58	00:20:44,284	Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...	11	4_11	9.3
dia4_utt12	4	neutral	00:20:54,794	11	3	neutral	Rachel	59	00:20:53,752	I know.	12	4_12	1.042
dia4_utt13	4	neutral	0:20:55,380	11	3	neutral	Ross	60	0:20:54,962	Yeah.	13	4_13	0.41800000000000004
dia4_utt14	4	neutral	0:20:56,057	11	3	neutral	Rachel	61	0:20:55,380	Yeah.	14	4_14	0.677
dia5_utt0	5	neutral	0:22:20,297	15	3	neutral	Phoebe	62	0:22:18,545	Ameri-can.	0	5_0	1.752
dia5_utt1	5	neutral	0:22:20,476	15	3	neutral	Joey	63	0:22:20,297	Ameri-ccan.	1	5_1	0.17900000000000002
dia5_utt2	5	neutral	00:22:23,507	15	3	neutral	Phoebe	64	00:22:20,589	Ameri-can. Y'know it’s a	2	5_2	2.918
dia5_utt3	5	surprise	00:22:28,679	15	3	positive	Sergei	65	00:22:25,844	Everybody!!	3	5_3	2.835
dia6_utt0	6	joy	00:12:27,526	22	8	positive	Chandler	66	00:12:24,315	Good job Joe! Well done! Top notch!	0	6_0	3.2110000000000003
dia6_utt1	6	surprise	0:12:29,796	22	8	positive	Joey	67	0:12:28,194	You liked it? You really liked it?	1	6_1	1.602
dia6_utt2	6	joy	0:12:31,501	22	8	positive	Chandler	68	0:12:29,796	Oh-ho-ho, yeah!	2	6_2	1.705
dia6_utt3	6	neutral	0:12:33,657	22	8	neutral	Joey	69	0:12:31,655	Which part exactly?	3	6_3	2.0020000000000002
dia6_utt4	6	neutral	0:12:36,243	22	8	neutral	Chandler	70	0:12:33,657	The whole thing! Can we go?	4	6_4	2.5860000000000003
dia6_utt5	6	anger	00:12:38,746	22	8	negative	Joey	71	00:12:36,368	Oh no-no-no, give me some specifics.	5	6_5	2.378
dia6_utt6	6	joy	00:12:43,000	22	8	positive	Chandler	72	00:12:38,954	I love the specifics, the specifics were the best part!	6	6_6	4.046
dia6_utt7	6	neutral	00:12:48,255	22	8	neutral	Joey	73	00:12:43,209	Hey, what about the scene with the kangaroo? Did-did you like that part?	7	6_7	5.046
dia6_utt8	6	surprise	00:12:54,929	22	8	negative	Chandler	74	00:12:49,298	I was surprised to see a kangaroo in a World War I epic.	8	6_8	5.631
dia6_utt9	6	anger	00:12:56,931	22	8	negative	Joey	75	00:12:55,930	You fell asleep!!	9	6_9	1.0010000000000001
dia6_utt10	6	anger	0:12:59,809	22	8	negative	Joey	76	0:12:58,432	There was no kangaroo!	10	6_10	1.377
dia6_utt11	6	anger	0:13:03,196	22	8	negative	Joey	77	0:12:59,809	They didn’t take any of my suggestions!	11	6_11	3.387
dia6_utt12	6	neutral	0:13:07,242	22	8	neutral	Joey	78	0:13:05,940	That’s for coming buddy.	12	6_12	1.302
dia6_utt13	6	neutral	0:13:08,202	22	8	neutral	Joey	79	0:13:07,242	I’ll see you later.	13	6_13	0.9600000000000001
dia6_utt14	6	sadness	0:13:08,804	22	8	negative	Chandler	80	0:13:08,202	Don’t go!	14	6_14	0.6020000000000001
dia6_utt15	6	sadness	0:13:09,526	22	8	negative	Chandler	81	0:13:08,804	I’m sorry.	15	6_15	0.7220000000000001
dia6_utt16	6	sadness	0:13:10,832	22	8	negative	Chandler	82	0:13:09,526	I’m so sorry!	16	6_16	1.306
dia6_utt17	6	surprise	0:13:11,407	22	8	negative	Chandler	83	0:13:10,945	Look!	17	6_17	0.462
dia6_utt18	6	anger	0:13:12,589	22	8	negative	Chandler	84	0:13:11,407	This guy fell asleep!	18	6_18	1.1820000000000002
dia6_utt19	6	anger	0:13:13,215	22	8	negative	Chandler	85	0:13:12,589	He fell asleep too!	19	6_19	0.626
dia6_utt20	6	anger	0:13:14,108	22	8	negative	Chandler	86	0:13:13,215	Be mad at him!	20	6_20	0.893
dia6_utt21	6	anger	00:13:18,244	22	8	negative	Chandler	87	00:13:16,367	Or, call an ambulance.	21	6_21	1.8770000000000002
dia7_utt0	7	neutral	00:12:53,897	9	6	neutral	Joey	88	00:12:51,020	Okay, look, I think we have to tell Rachel she messed up her dessert.	0	7_0	2.8770000000000002
dia7_utt1	7	anger	00:12:58,193	9	6	negative	Ross	89	00:12:54,106	What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!	1	7_1	4.087000000000001
dia8_utt0	8	neutral	00:19:21,951	23	6	neutral	Phoebe	90	00:19:17,865	Yes, and it is my dying wish to have that ring.	0	8_0	4.086
dia8_utt1	8	neutral	00:19:25,204	23	6	neutral	Phoebe	91	00:19:17,865	See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity	1	8_1	7.339
dia8_utt2	8	neutral	00:19:26,706	23	6	neutral	Chandler	92	00:19:25,372	Okay, that’s enough honey!	2	8_2	1.334
dia8_utt3	8	neutral	00:19:34,964	23	6	neutral	Customer	93	00:19:28,375	I don’t know.  Let me see the ring.	3	8_3	6.589
dia8_utt4	8	joy	00:19:34,964	23	6	positive	Chandler	94	00:19:32,129	Great! Okay, here.	4	8_4	2.835
dia8_utt5	8	neutral	0:19:39,934	23	6	neutral	Customer	95	0:19:37,342	All right.	5	8_5	2.592
dia8_utt6	8	joy	0:19:40,074	23	6	positive	Chandler	96	0:19:39,934	Thank you. Thank you. Thank you!  And	6	8_6	0.14
dia9_utt0	9	neutral	00:01:54,738	5	2	neutral	Chandler	97	00:01:51,903	What've you been up to?	0	9_0	2.835
dia9_utt1	9	neutral	00:02:01,203	5	2	neutral	Jade	98	00:01:54,948	Oh, you know, the usual, teaching aerobics, partying way too much.	1	9_1	6.255000000000001
dia9_utt2	9	neutral	00:02:07,459	5	2	neutral	Jade	99	00:02:01,621	Oh, and in case you were wondering, those are my legs on the new James Bond poster.	2	9_2	5.838
dia9_utt3	9	joy	00:02:14,758	5	2	positive	Chandler	100	00:02:10,547	Can you hold on a moment? I have another call.  I love her.	3	9_3	4.211
dia9_utt4	9	neutral	00:02:14,758	5	2	neutral	Ross	101	00:02:13,091	I know.	4	9_4	1.667
dia9_utt5	9	neutral	0:02:16,903	5	2	neutral	Chandler	102	0:02:16,261	I'm back.	5	9_5	0.642
dia9_utt6	9	neutral	0:02:19,185	5	2	neutral	Jade	103	0:02:16,903	So, are we gonna get together or what?	6	9_6	2.282
dia9_utt7	9	neutral	00:02:25,561	5	2	neutral	Chandler	104	00:02:19,347	Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?	7	9_7	6.214
dia9_utt8	9	neutral	00:02:28,647	5	2	neutral	Jade	105	00:02:25,770	Great, I'll see you then.	8	9_8	2.8770000000000002
dia9_utt9	9	joy	00:02:34,528	5	2	positive	Chandler	106	00:02:32,318	Ok.  Ok. Having a phone has finally paid off.	9	9_9	2.21
dia9_utt10	9	neutral	00:02:43,620	5	2	neutral	Ross	107	00:02:36,823	"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob."""	10	9_10	6.797000000000001
dia9_utt11	9	neutral	00:02:52,337	5	2	neutral	Chandler	108	00:02:47,375	I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.	11	9_11	4.962000000000001
dia9_utt12	9	disgust	00:02:55,299	5	2	negative	Ross	109	00:02:52,547	Oh my god. You are pure evil.	12	9_12	2.7520000000000002
dia9_utt13	9	anger	00:03:05,058	5	2	negative	Chandler	110	00:02:56,634	Ok, pure evil , horny and alone . I've done this	13	9_13	8.424000000000001
dia10_utt0	10	anger	0:11:58,551	10	5	negative	Phoebe	111	0:11:57,091	Nobody!	0	10_0	1.4600000000000002
dia10_utt1	10	anger	0:11:59,947	10	5	negative	Phoebe	112	0:11:58,551	Nobody respects the bucket!	1	10_1	1.3960000000000001
dia10_utt2	10	anger	00:12:02,721	10	5	negative	Phoebe	113	00:12:00,553	You wouldn't believe what people put in here!	2	10_2	2.168
dia10_utt3	10	anger	00:12:04,597	10	5	negative	Phoebe	114	00:12:02,888	Look!	3	10_3	1.709
dia10_utt4	10	anger	00:12:07,016	10	5	negative	Phoebe	115	00:12:02,888	Okay, does this look like a garbage can to you?	4	10_4	4.128
dia10_utt5	10	neutral	00:12:07,016	10	5	neutral	Monica	116	00:12:04,765	No.	5	10_5	2.2510000000000003
dia11_utt0	11	neutral	00:03:12,024	23	4	neutral	Ross	117	00:03:10,815	This is my wedding.	0	11_0	1.209
dia11_utt1	11	anger	00:03:16,737	23	4	negative	Monica	118	00:03:13,318	All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!	1	11_1	3.419
dia11_utt2	11	neutral	00:03:21,491	23	4	neutral	Ross	119	00:03:18,781	Fine. You’ll-you’ll watch it on video when we get back.	2	11_2	2.71
dia11_utt3	11	joy	00:03:25,704	23	4	positive	Chandler	120	00:03:22,869	Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.	3	11_3	2.835
dia11_utt4	11	neutral	0:03:28,791	23	4	neutral	Phoebe	121	0:03:27,790	Thank you.	4	11_4	1.0010000000000001
dia11_utt5	11	neutral	0:03:28,931	23	4	neutral	Phoebe	122	0:03:28,791	Thank you.	5	11_5	0.14
dia11_utt6	11	joy	00:03:34,463	23	4	positive	Ross	123	00:03:32,503	All right, let’s go! Bye, Pheebs!	6	11_6	1.9600000000000002
dia11_utt7	11	joy	00:03:36,340	23	4	positive	Joey	124	00:03:34,631	Bye, Pheebs!	7	11_7	1.709
dia11_utt8	11	joy	00:03:42,554	23	4	positive	Joey	125	00:03:40,803	London baby!!	8	11_8	1.7510000000000001
dia11_utt9	11	joy	00:03:51,563	23	4	positive	Phoebe	126	00:03:44,849	Oh, do you need a hug? You don’t have to bring me anything!	9	11_9	6.714
dia12_utt0	12	neutral	00:09:49,045	4	6	neutral	Chandler	127	00:09:47,295	Hey!	0	12_0	1.75
dia12_utt1	12	joy	00:09:56,177	4	6	positive	Joey	128	00:09:47,295	Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.	1	12_1	8.882
dia12_utt2	12	disgust	00:10:00,890	4	6	negative	Chandler	129	00:09:57,346	That’s great, but shouldn’t you be on the toilet right now?	2	12_2	3.544
dia12_utt3	12	surprise	0:10:05,647	4	6	negative	Joey	130	0:10:04,312	What?!	3	12_3	1.3350000000000002
dia12_utt4	12	disgust	0:10:06,929	4	6	negative	Chandler	131	0:10:05,647	What’s wrong with you?	4	12_4	1.282
dia12_utt5	12	neutral	00:10:08,023	4	6	neutral	Joey	132	00:10:07,023	Nothing!	5	12_5	1.0
dia12_utt6	12	fear	00:10:18,575	4	6	negative	Joey	133	00:10:08,190	Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.	6	12_6	10.385
dia12_utt7	12	neutral	00:10:21,536	4	6	neutral	Joey	134	00:10:18,743	But um, I don’t think it’s anything serious.	7	12_7	2.793
dia12_utt8	12	surprise	00:10:24,706	4	6	negative	Chandler	135	00:10:21,704	This sounds like a hernia. You have to—you-you go to the doctor!	8	12_8	3.0020000000000002
dia12_utt9	12	fear	00:10:31,463	4	6	negative	Joey	136	00:10:24,874	No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!	9	12_9	6.589
dia12_utt10	12	disgust	00:10:36,009	4	6	negative	Chandler	137	00:10:34,842	That’s a hernia.	10	12_10	1.167
dia12_utt11	12	anger	00:10:41,556	4	6	negative	Joey	138	00:10:36,177	Why did I have to start working out again?  Damn you 15s!	11	12_11	5.3790000000000004
dia13_utt0	13	joy	00:10:40,930	8	8	positive	Mona	139	00:10:36,844	I love your place! Where is this guy from?	0	13_0	4.086
dia13_utt1	13	neutral	00:10:50,899	8	8	neutral	Ross	140	00:10:41,098	Uh that’s an eighteenth century Indian artifact from Calcutta.	1	13_1	9.801
dia13_utt2	13	surprise	00:10:50,899	8	8	positive	Mona	141	00:10:44,894	Oh wow! So, you’re more than just dinosaurs.	2	13_2	6.005000000000001
dia13_utt3	13	neutral	00:10:53,485	8	8	neutral	Ross	142	00:10:51,567	So much more.	3	13_3	1.9180000000000001
dia14_utt0	14	neutral	00:13:53,456	11	8	neutral	Ross	143	00:13:42,112	Well, well to sum up, we’re having fun, you look young.	0	14_0	11.344000000000001
dia14_utt1	14	neutral	00:14:00,171	11	8	neutral	Mona	144	00:13:57,253	Okay	1	14_1	2.918
dia14_utt2	14	neutral	00:14:06,135	11	8	neutral	Ross	145	00:13:57,253	But that’s not enough. So… So…here’s a key to my apartment.	2	14_2	8.882
dia14_utt3	14	surprise	0:14:14,986	11	8	positive	Mona	146	0:14:12,184	Really?!	3	14_3	2.802
dia14_utt4	14	neutral	0:14:15,320	11	8	neutral	Ross	147	0:14:14,986	Really.	4	14_4	0.334
dia14_utt5	14	neutral	00:14:20,316	11	8	neutral	Mona	148	00:14:16,897	You don’t think this is too fast.	5	14_5	3.419
dia15_utt0	15	anger	00:42:13,488	23	9	negative	Ross	149	00:42:09,652	Get Out!	0	15_0	3.8360000000000003
dia15_utt1	15	neutral	00:42:16,908	23	9	neutral	Charlie	150	00:42:15,032	Ross, can I talk to you for a minute?	1	15_1	1.8760000000000001
dia15_utt2	15	neutral	00:42:23,998	23	9	neutral	Ross	151	00:42:17,117	Yes, please!  So, what's going on?	2	15_2	6.881
dia15_utt3	15	sadness	00:42:29,754	23	9	negative	Charlie	152	00:42:26,126	Uh, well... Joey and I broke up.	3	15_3	3.628
dia15_utt4	15	surprise	00:42:35,885	23	9	negative	Ross	153	00:42:30,464	Oh my God, wh-what happened?	4	15_4	5.421
dia15_utt5	15	sadness	00:42:44,561	23	9	negative	Charlie	154	00:42:36,053	Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!	5	15_5	8.508000000000001
dia15_utt6	15	anger	00:42:44,561	23	9	negative	Ross	155	00:42:42,059	I knew that was him!	6	15_6	2.5020000000000002
dia15_utt7	15	sadness	00:42:50,108	23	9	negative	Charlie	156	00:42:46,313	Anyway I just, uh, I think it's for the best.	7	15_7	3.7950000000000004
dia15_utt8	15	neutral	0:42:52,950	23	9	neutral	Ross	157	0:42:51,068	Hey, you ok?	8	15_8	1.8820000000000001
dia15_utt9	15	sadness	0:42:55,208	23	9	negative	Charlie	158	0:42:52,950	I guess.	9	15_9	2.258
dia15_utt10	15	neutral	00:43:05,915	23	9	neutral	Charlie	159	00:42:57,866	There was hum...  there was another reason that I thought it was time to end it with Joey.	10	15_10	8.049000000000001
dia15_utt11	15	neutral	00:43:12,547	23	9	neutral	Charlie	160	00:43:06,667	I started to realize that I was having feelings for someone  else.	11	15_11	5.880000000000001
dia15_utt12	15	neutral	00:43:19,220	23	9	neutral	Paleontologist	161	00:43:14,174	Ok Geller. Last day of the conference, you know what happens to the keynote speaker.	12	15_12	5.046
dia15_utt13	15	neutral	00:43:22,765	23	9	neutral	Ross	162	00:43:19,388	Oh, professor Clerk we're kind of in the middle of a conversation, here.	13	15_13	3.3770000000000002
dia15_utt14	15	neutral	0:43:24,905	23	9	neutral	Charlie	163	0:43:22,933	Yeah, can you guys just throw him in the pool later?	14	15_14	1.9720000000000002
dia15_utt15	15	joy	0:43:27,073	23	9	positive	Professore Clerk	164	0:43:24,905	Or we could throw you both in	15	15_15	2.168
dia15_utt16	15	anger	0:43:28,147	23	9	negative	Ross	165	0:43:27,187	Ok, gentlemen!	16	15_16	0.9600000000000001
dia15_utt17	15	anger	0:43:28,699	23	9	negative	Ross	166	0:43:28,147	Please!	17	15_17	0.552
dia15_utt18	15	anger	0:43:30,985	23	9	negative	Ross	167	0:43:28,699	Aren't we a little old for this?	18	15_18	2.286
dia15_utt19	15	neutral	0:43:32,788	23	9	neutral	Ross	168	0:43:31,066	I mean, we're scientists, right?	19	15_19	1.7220000000000002
dia15_utt20	15	anger	0:43:33,798	23	9	negative	Ross	169	0:43:32,788	We're academics.	20	15_20	1.01
dia15_utt21	15	joy	00:43:37,780	23	9	positive	Ross	170	00:43:33,902	And most importantly I... you-you will have to catch us first.	21	15_21	3.878
dia15_utt22	15	joy	00:43:40,366	23	9	positive	Ross	172	00:43:37,948	GO, GO, GO!	22	15_22	2.418
dia16_utt0	16	joy	00:04:42,239	25	3	positive	Ross	173	00:04:41,197	Go, go, go!	0	16_0	1.042
dia16_utt1	16	joy	00:04:44,574	25	3	positive	Rachel	174	00:04:42,407	Oh yeah, now everybody wants to be under this hat!	1	16_1	2.1670000000000003
dia16_utt2	16	disgust	00:04:50,747	25	3	negative	Phoebe	175	00:04:49,455	Oy!!	2	16_2	1.292
dia16_utt3	16	surprise	00:04:54,001	25	3	negative	Monica	176	00:04:52,333	What’s with all this sand?	3	16_3	1.6680000000000001
dia16_utt4	16	neutral	00:04:56,795	25	3	neutral	Phoebe	177	00:04:54,168	Oh, yeah, Bob said there might be flood damage.	4	16_4	2.6270000000000002
dia16_utt5	16	neutral	00:04:59,214	25	3	neutral	Ross	178	00:04:57,005	Yeah, either that, or he has a really big cat.	5	16_5	2.209
dia17_utt0	17	anger	00:06:19,127	19	5	negative	Joey	179	00:06:15,416	Okay, see that blind guy right there? I'm gonna bash his head in later.	0	17_0	3.7110000000000003
dia17_utt1	17	joy	00:06:25,542	19	5	positive	Joey	180	00:06:21,506	Oh umm, my big scene is coming up. Big scene coming up.	1	17_1	4.0360000000000005
dia17_utt2	17	neutral	00:06:29,012	19	5	neutral	Chandler	181	00:06:25,551	"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?"	2	17_2	3.4610000000000003
dia17_utt3	17	neutral	00:06:33,517	19	5	neutral	Monica	182	00:06:32,183	Rach? What are you doing?	3	17_3	1.334
dia17_utt4	17	fear	00:06:37,020	19	5	negative	Rachel	183	00:06:33,976	Oh boy, I just can't watch. It's too scary!	4	17_4	3.044
dia17_utt5	17	neutral	00:06:39,731	19	5	neutral	Monica	184	00:06:37,480	It's a diaper commercial.	5	17_5	2.2510000000000003
dia17_utt6	17	fear	00:06:43,735	19	5	negative	Rachel	185	00:06:40,817	Oh yeah well, you know me, babies, responsibilities, ahhh!!!	6	17_6	2.918
dia17_utt7	17	joy	0:06:49,793	19	5	positive	Caitlin	186	0:06:47,281	Pizza delivery!	7	17_7	2.512
dia17_utt8	17	joy	0:06:50,887	19	5	positive	Ross	187	0:06:49,793	I'll get it! I will get that!	8	17_8	1.094
dia17_utt9	17	joy	0:06:54,665	19	5	positive	Caitlin	188	0:06:53,538	Hi!	9	17_9	1.127
dia17_utt10	17	joy	0:06:54,803	19	5	positive	Ross	189	0:06:54,665	Hi!	10	17_10	0.138
dia18_utt0	18	neutral	00:05:09,474	21	5	neutral	Ross	190	00:05:05,096	Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?	0	18_0	4.378
dia18_utt1	18	neutral	0:05:11,603	21	5	neutral	Joey	191	0:05:09,642	Uhh, the ball thing.	1	18_1	1.961
dia18_utt2	18	neutral	0:05:12,542	21	5	neutral	Ross	192	0:05:11,603	Yeah?	2	18_2	0.9390000000000001
dia18_utt3	18	joy	00:05:19,109	21	5	positive	Joey	193	00:05:14,022	Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!	3	18_3	5.087000000000001
dia18_utt4	18	neutral	00:05:22,279	21	5	neutral	Ross	194	00:05:19,277	Uhh,	4	18_4	3.0020000000000002
dia18_utt5	18	joy	00:05:24,990	21	5	positive	Joey	195	00:05:23,489	Okay!	5	18_5	1.5010000000000001
dia18_utt6	18	fear	0:05:29,670	21	5	negative	Joey	196	0:05:28,578	Uh-oh.	6	18_6	1.092
dia18_utt7	18	neutral	0:05:30,222	21	5	neutral	Ross	197	0:05:29,670	What?	7	18_7	0.552
dia18_utt8	18	sadness	00:05:34,166	21	5	negative	Joey	198	00:05:30,330	I have to pee. And Rachel's in the bathroom!	8	18_8	3.8360000000000003
